DatasetName,ElementNumber,ElementName,EMS Element
CADDataSet,eCad.87,Incident State,eScene.18
CADDataSet,eCad.88,Incident ZIP Code,eScene.19
CADDataSet,eCad.89,Scene Cross Street or Directions,eScene.20
CADDataSet,eCad.90,Incident County,eScene.21
CADDataSet,eCad.91,Incident Country,eScene.22
CADDataSet,eCad.92,Incident Census Tract,eScene.23
CADDataSet,eCad.93,"Destination/Transferred To, Name",eDisposition.01
CADDataSet,eCad.94,"Destination/Transferred To, Code",eDisposition.02
CADDataSet,eCad.95,Destination Street Address,eDisposition.03
CADDataSet,eCad.96,Destination City,eDisposition.04
CADDataSet,eCad.97,Destination State,eDisposition.05
CADDataSet,eCad.98,Destination County,eDisposition.06
CADDataSet,eCad.99,Destination ZIP Code,eDisposition.07
CADDataSet,eCad.100,Destination Country,eDisposition.08
CADDataSet,eCad.101,Destination GPS Location,eDisposition.09
CADDataSet,eCad.102,Disposition Location US National Grid Coordinates,eDisposition.10
CADDataSet,eCad.103,Number of Patients Transported in this EMS Unit,eDisposition.11
CADDataSet,eCad.104,EMS Transport Method,eDisposition.16
CADDataSet,eCad.105,Transport Mode from Scene,eDisposition.17
CADDataSet,eCad.106,Additional Transport Mode Descriptors,eDisposition.18
CADDataSet,eCad.107,Type of Destination,eDisposition.21
CADDataSet,eCad.108,Destination Team Pre-Arrival Activation,eDisposition.24
CADDataSet,eCad.109,Date/Time of Destination Prearrival Activation,eDisposition.25
