"Value","CodeType","Category","SourceLabel","SuggestedLabel","Note","Date",
"X95.9","","Intent","Assault by unspecified firearm discharge","Assault by firearm discharge","","2021-05-06",
"X99.9","","Intent","Assault by unspecified sharp object","Assault by stabbing, NOS","","2021-05-06",
"Y08","","Intent","Assault by other specified means","Assault, NOS","","2021-05-06",
"Y09","","Intent","Assault by unspecified means","Homicide (attempted), NOS","","2021-05-06",
"X74.9","","Intent","Intentional self-harm by unspecified firearm discharge","Intentional self-harm by firearm","","2021-05-06",
"X83","","Intent","Intentional self-harm by other specified means","Intentional self-harm, NOS","","2021-05-06",
"X78.9","","Intent","Intentional self-harm by unspecified sharp object","Intentional self-harm, sharp object","","2021-05-06",
"Y33","","Intent","Other specified events, undetermined intent","Other specified events, undetermined intent","","2021-05-06",
"T14.91","","Intent","Suicide attempt","Suicide attempt","","2021-05-06",
"Y35","","Law Enforcement","Legal intervention","Legal intervention","","2021-05-06",
"W20","","Mechanical Force","Struck by thrown, projected or falling object","Struck by thrown/projected/falling object","","2021-05-06",
"W23","","Mechanical Force","Caught, crushed, jammed or pinched in or between objects","Caught/crushed/jammed/pinched in or between objects","","2021-05-06",
"Y29","","Mechanical Force","Contact with blunt object, undetermined intent","Contact with blunt object, NOS","","2021-05-06",
"W22.8","","Mechanical Force","Striking against or struck by other objects","Struck by other objects","","2021-05-06",
"V86.99","","MVC, Non-Traffic Related","Unspecified occupant of other special all-terrain or other off-road motor vehicle injured in nontraffic accident","All-terrain/off-road accident, nontraffic","","2021-05-06",
"V49.3","","MVC, Non-Traffic Related","Car occupant (driver) (passenger) injured in unspecified nontraffic accident","Car accident NOS, nontraffic","","2021-05-06",
"V29.3","","MVC, Non-Traffic Related","Motorcycle rider (driver) (passenger) injured in unspecified nontraffic accident","Motorcycle accident NOS, nontraffic","","2021-05-06",
"V89.0","","MVC, Non-Traffic Related","Person injured in unspecified motor-vehicle accident, nontraffic","Other motor-vehicle accident, nontraffic","","2021-05-06",
"V86.31","","MVC, Traffic Related","Unspecified occupant of ambulance or fire engine injured in traffic accident","Ambulance/fire engine accident","","2021-05-06",
"V79.9","","MVC, Traffic Related","Bus occupant (driver) (passenger) injured in unspecified traffic accident","Bus accident","","2021-05-06",
"V49.9","","MVC, Traffic Related","Car occupant (driver) (passenger) injured in unspecified traffic accident","Car accident, NOS","","2021-05-06",
"V49","","MVC, Traffic Related","Car occupant injured in other and unspecified transport accidents","Car occupant injured in transport accident, NOS","","2021-05-06",
"V43","","MVC, Traffic Related","Car occupant injured in collision with car, pick-up truck or van","Collision with car/truck/van, car occupant injury","","2021-05-06",
"V40.9","","MVC, Traffic Related","Unspecified car occupant injured in collision with pedestrian or animal in traffic accident","Collision with pedestrian/animal, car occupant injury","","2021-05-06",
"V49.6","","MVC, Traffic Related","Unspecified car occupant injured in collision with other and unspecified motor vehicles in traffic accident","Collision with unspecified motor vehicles, NOS","","2021-05-06",
"Y32","","MVC, Traffic Related","Crashing of motor vehicle, undetermined intent","Crashing of motor vehicle, NOS","","2021-05-06",
"V69.9","","MVC, Traffic Related","Occupant (driver) (passenger) of heavy transport vehicle injured in unspecified traffic accident","Heavy transport vehicle accident","","2021-05-06",
"V29.9","","MVC, Traffic Related","Motorcycle rider (driver) (passenger) injured in unspecified traffic accident","Motorcycle accident, NOS","","2021-05-06",
"V99","","MVC, Traffic Related","Unspecified transport accident","Transport accident, NOS","","2021-05-06",
"V59.9","","MVC, Traffic Related","Occupant (driver) (passenger) of pick-up truck or van injured in unspecified traffic accident","Truck/van accident","","2021-05-06",
"V87","","MVC, Traffic Related","Traffic accident of specified type but victim's mode of transport unknown","Unknown mode of transport","","2021-05-06",
"V89.9","","MVC, Traffic Related","Person injured in unspecified vehicle accident","Vehicle accident, NOS","","2021-05-06",
"W45","","Other","Foreign body or object entering through skin","Foreign body or object entering through skin","","2021-05-06",
"T14.90","","Other","Injury, unspecified","Injury, unspecified","","2021-05-06",
"T14.8","","Other","Other injury of unspecified body region","Other injury of unspecified body region","","2021-05-06",
"T75.89","","Other","Other specified effects of external causes","Other specified effects of external causes","","2021-05-06",
"V19.3","","Pedal Cyclist","Pedal cyclist (driver) (passenger) injured in unspecified nontraffic accident","Nontraffic accident","","2021-05-06",
"V19.9","","Pedal Cyclist","Pedal cyclist (driver) (passenger) injured in unspecified traffic accident","Traffic accident","","2021-05-06",
"V29.91","","Pedal Cyclist","Electric (assisted) bicycle rider (driver) (passenger) injured in unspecified traffic accident","Electric Bike","","2024-07-08",
"V03.9","","Pedestrian","Pedestrian injured in collision with car, pick-up truck or van, unspecified whether traffic or nontraffic accident","Car/truck/van, nontraffic accident","","2021-05-06",
"V03.1","","Pedestrian","Pedestrian injured in collision with car, pick-up truck or van in traffic accident","Car/truck/van, traffic accident","","2021-05-06",
"V00.84","","Pedestrian","Accident with standing micro-mobility pedestrian conveyance","Electric scooters/boards/skates","","2024-07-08",
"T50.90","","Poisoning","Poisoning by, adverse effect of and underdosing of unspecified drugs, medicaments and biological substances","Poisoning by unspecified substance","","2021-05-06",
"T51.9","","Poisoning","Toxic effect of unspecified alcohol","Toxic effect of alcohol","","2021-05-06",
"T65.9","","Poisoning","Toxic effect of unspecified substance","Toxic effect of unknown substance","","2021-05-06",
"W26","","Sharp Objects","Contact with other sharp objects","Knife/sword/dagger","","2021-05-06",
"W25","","Sharp Objects","Contact with sharp glass","Sharp glass","","2021-05-06",
"Y28.9","","Sharp Objects","Contact with unspecified sharp object, undetermined intent","Sharp object, NOS","","2021-05-06",
"W31.9","","Tools/Devices","Contact with unspecified machinery","Contact with machinery NOS","","2021-05-06",
