"Value","CodeType","Category","SourceLabel","SuggestedLabel","Note","Date",
"I34.2","","Cardiovascular","Nonrheumatic mitral (valve) stenosis","Mitral Valve Stenosis","","2021-05-06",
"I40.9","","Cardiovascular","Acute myocarditis, unspecified","Myocarditis Acute","","2021-05-06",
"I27.0","","Cardiovascular","Primary pulmonary hypertension","Pulmonary Hypertension","","2021-05-06",
"I37.9","","Cardiovascular","Nonrheumatic pulmonary valve disorder, unspecified","Pulmonary Valve Disorder","","2021-05-06",
"I22.9","","Cardiovascular","Subsequent ST elevation (STEMI) myocardial infarction of unspecified site","STEMI","","2021-05-06",
"I47.1","","Cardiovascular","Supraventricular tachycardia","Supraventricular Tachycardia","","2021-05-06",
"I36.9","","Cardiovascular","Nonrheumatic tricuspid valve disorder, unspecified","Tricuspid Valve Disorder","","2021-05-06",
"I47.2","","Cardiovascular","Ventricular tachycardia","Ventricular Tachycardia","","2021-05-06",
"Q27.39","","Congenital","Arteriovenous malformation, other site","Arteriovenous Malformation","","2021-05-06",
"Q21.1","","Congenital","Atrial septal defect","Atrial Septal Defect","","2021-05-06",
"Q21.2","","Congenital","Atrioventricular septal defect","Atrioventricular Septal Defect","","2021-05-06",
"E84.9","","Congenital","Cystic fibrosis, unspecified","Cystic Fibrosis","","2021-05-06",
"Q90","","Congenital","Down syndrome","Down's Syndrome","","2021-05-06",
"Q86.0","","Congenital","Fetal alcohol syndrome (dysmorphic)","Fetal Alcohol Syndrome","","2021-05-06",
"Q24","","Congenital","Other congenital malformations of heart","Other Heart Congenital Malformations","","2021-05-06",
"Q25.0","","Congenital","Patent ductus arteriosus","Patent Ductus Arteriosus","","2021-05-06",
"Q05.9","","Congenital","Spina bifida, unspecified","Spina bifida","","2021-05-06",
"Q21.3","","Congenital","Tetralogy of Fallot","Tetralogy of Fallot","","2021-05-06",
"Q21.0","","Congenital","Ventricular septal defect","Ventricular Septal Defect","","2021-05-06",
"K02.9","","Dental","Dental caries, unspecified","Caries","","2021-05-06",
"K03.81","","Dental","Cracked tooth","Cracked Tooth","","2021-05-06",
"K08.139","","Dental","Complete loss of teeth due to caries, unspecified class","Loss of Tooth from Caries","","2021-05-06",
"K08.119","","Dental","Complete loss of teeth due to trauma, unspecified class","Loss of Tooth from Trauma","","2021-05-06",
"H54.0","","EENT","Blindness, both eyes","Blind","","2021-05-06",
"H54.8","","EENT","Legal blindness, as defined in USA","Blind Legally","","2021-05-06",
"H25.9","","EENT","Unspecified age-related cataract","Cataract","","2021-05-06",
"H91.3","","EENT","Deaf nonspeaking, not elsewhere classified","Deaf","","2021-05-06",
"H60.60","","EENT","Unspecified chronic otitis externa, unspecified ear","Ear Infections","","2021-05-06",
"H40.9","","EENT","Unspecified glaucoma","Glaucoma","","2021-05-06",
"H91.90","","EENT","Unspecified hearing loss, unspecified ear","Hearing Loss","","2021-05-06",
"H93.19","","EENT","Tinnitus, unspecified ear","Tinnitus","","2021-05-06",
"E10.8","","Endocrine","Type 1 diabetes mellitus with unspecified complications","Diabetes Type I","","2021-05-06",
"E11.8","","Endocrine","Type 2 diabetes mellitus with unspecified complications","Diabetes Type II","","2021-05-06",
"E03.9","","Endocrine","Hypothyroidism, unspecified","Hypothyroidism","","2021-05-06",
"E13.40","","Endocrine","Other specified diabetes mellitus with diabetic neuropathy, unspecified","Neuropathy w/Diabetes","","2021-05-06",
"K29.2","","GI","Alcoholic gastritis","Alcoholic Gastritis","","2021-05-06",
"K37","","GI","Unspecified appendicitis","Appendicitis","","2021-05-06",
"K81.9","","GI","Cholecystitis, unspecified","Cholecystitis","","2021-05-06",
"K59.00","","GI","Constipation, unspecified","Constipation","","2021-05-06",
"K50.019","","GI","Crohn's disease of small intestine with unspecified complications","Crohn's Disease","","2021-05-06",
"K57","","GI","Diverticular disease of intestine","Diverticulosis","","2021-05-06",
"K30","","GI","Functional dyspepsia","Dyspepsia","","2021-05-06",
"K22.2","","GI","Esophageal obstruction","Esophageal Obstruction","","2021-05-06",
"I85.01","","GI","Esophageal varices with bleeding","Esophageal Varices w/Bleed","","2021-05-06",
"I85.00","","GI","Esophageal varices without bleeding","Esophageal Varices w/o Bleed","","2021-05-06",
"K20.9","","GI","Esophagitis, unspecified","Esophagitis","","2021-05-06",
"K56.41","","GI","Fecal impaction","Fecal Impaction","","2021-05-06",
"A05.9","","GI","Bacterial foodborne intoxication, unspecified","Foodborne Illness","","2021-05-06",
"K27.4","","GI","Chronic or unspecified peptic ulcer, site unspecified, with hemorrhage","Gastric Ulcer w/Bleed","","2021-05-06",
"K25.9","","GI","Gastric ulcer, unspecified as acute or chronic, without hemorrhage or perforation","Gastric Ulcer w/o Bleed","","2021-05-06",
"K29.50","","GI","Unspecified chronic gastritis without bleeding","Gastritis Chronic","","2021-05-06",
"K21.9","","GI","Gastro-esophageal reflux disease without esophagitis","GERD/Reflux","","2021-05-06",
"K92.2","","GI","Gastrointestinal hemorrhage, unspecified","GI Bleed","","2021-05-06",
"K92.0","","GI","Hematemesis","Hematemesis","","2021-05-06",
"K64.9","","GI","Unspecified hemorrhoids","Hemorrhoids","","2021-05-06",
"K40","","GI","Inguinal hernia","Hernia Inguinal","","2021-05-06",
"K42","","GI","Umbilical hernia","Hernia Umbilical","","2021-05-06",
"K56.60","","GI","Unspecified intestinal obstruction","Intestinal Obstruction","","2021-05-06",
"K56.1","","GI","Intussusception","Intussusception","","2021-05-06",
"K58","","GI","Irritable bowel syndrome","Irritable Bowel Syndrome","","2021-05-06",
"E73.9","","GI","Lactose intolerance, unspecified","Lactose Intolerance","","2021-05-06",
"K76.9","","GI","Liver disease, unspecified","Liver Disease","","2021-05-06",
"K92.1","","GI","Melena","Melena","","2021-05-06",
"E66.9","","GI","Obesity, unspecified","Obesity","","2021-05-06",
"K85.8","","GI","Other acute pancreatitis","Pancreatitis (Acute)","","2021-05-06",
"K86.1","","GI","Other chronic pancreatitis","Pancreatitis (Chronic)","","2021-05-06",
"K65.9","","GI","Peritonitis, unspecified","Peritonitis","","2021-05-06",
"K51.919","","GI","Ulcerative colitis, unspecified with unspecified complications","Ulcerative Colitis","","2021-05-06",
"N32.9","","GU","Bladder disorder, unspecified","Bladder Disorder","","2021-05-06",
"N32.81","","GU","Overactive bladder","Overactive Bladder","","2021-05-06",
"N91.2","","GYN","Amenorrhea, unspecified","Amenorrhea","","2021-05-06",
"N94.6","","GYN","Dysmenorrhea, unspecified","Dysmenorrhea","","2021-05-06",
"N80.9","","GYN","Endometriosis, unspecified","Endometriosis","","2021-05-06",
"N92","","GYN","Excessive, frequent and irregular menstruation","Menstruation Excessive/Irregular/Frequent","","2021-05-06",
"J40","","Infectious","Bronchitis, not specified as acute or chronic","Bronchitis","","2021-05-06",
"B37.9","","Infectious","Candidiasis, unspecified","Candidia","","2021-05-06",
"B33.24","","Infectious","Viral cardiomyopathy","Cardiomyopathy (Viral)","","2021-05-06",
"L03.119","","Infectious","Cellulitis of unspecified part of limb","Cellulitis (Extremity)","","2021-05-06",
"L03.818","","Infectious","Cellulitis of other sites","Cellulitis (Other site)","","2021-05-06",
"B01.9","","Infectious","Varicella without complication","Chicken Pox","","2021-05-06",
"A74.9","","Infectious","Chlamydial infection, unspecified","Chlamydia","","2021-05-06",
"B30.9","","Infectious","Viral conjunctivitis, unspecified","Conjunctivitis (Viral)","","2021-05-06",
"H10.30","","Infectious","Unspecified acute conjunctivitis, unspecified eye","Conjunctivitis, unspecified","","2021-05-06",
"A98.4","","Infectious","Ebola virus disease","Ebola","","2021-05-06",
"A83.9","","Infectious","Mosquito-borne viral encephalitis, unspecified","Encephalitis (Mosquito)","","2021-05-06",
"A86","","Infectious","Unspecified viral encephalitis","Encephalitis (Viral)","","2021-05-06",
"B33.21","","Infectious","Viral endocarditis","Endocarditis (Viral)","","2021-05-06",
"A54.9","","Infectious","Gonococcal infection, unspecified","Gonococcal Infection","","2021-05-06",
"B15.9","","Infectious","Hepatitis A without hepatic coma","Hepatitis A","","2021-05-06",
"B16.9","","Infectious","Acute hepatitis B without delta-agent and without hepatic coma","Hepatitis B","","2021-05-06",
"B19.10","","Infectious","Unspecified viral hepatitis B without hepatic coma","Hepatitis B (Viral)","","2021-05-06",
"B17.10","","Infectious","Acute hepatitis C without hepatic coma","Hepatitis C","","2021-05-06",
"B19.20","","Infectious","Unspecified viral hepatitis C without hepatic coma","Hepatitis C (Viral)","","2021-05-06",
"B17.2","","Infectious","Acute hepatitis E","Hepatitis E","","2021-05-06",
"A60.9","","Infectious","Anogenital herpesviral infection, unspecified","Herpes (anogenital)","","2021-05-06",
"B39.9","","Infectious","Histoplasmosis, unspecified","Histoplasmosis","","2021-05-06",
"B20","","Infectious","Human immunodeficiency virus [HIV] disease","HIV","","2021-05-06",
"Z21","","Infectious","Asymptomatic human immunodeficiency virus [HIV] infection status","HIV (Asymptomatic)","","2021-05-06",
"J10","","Infectious","Influenza due to other identified influenza virus","Influenza","","2021-05-06",
"A69.20","","Infectious","Lyme disease, unspecified","Lyme Disease","","2021-05-06",
"B54","","Infectious","Unspecified malaria","Malaria","","2021-05-06",
"B05.9","","Infectious","Measles without complication","Measles","","2021-05-06",
"G03.9","","Infectious","Meningitis, unspecified","Meningitis","","2021-05-06",
"A87.9","","Infectious","Viral meningitis, unspecified","Meningitis (Viral)","","2021-05-06",
"G00.9","","Infectious","Bacterial meningitis, unspecified","Meningitis Bacterial","","2021-05-06",
"A39.9","","Infectious","Meningococcal infection, unspecified","Meningococcal","","2021-05-06",
"B27.9","","Infectious","Infectious mononucleosis, unspecified","Mononucleosis","","2021-05-06",
"B26.9","","Infectious","Mumps without complication","Mumps","","2021-05-06",
"B33.22","","Infectious","Viral myocarditis","Myocarditis (Viral)","","2021-05-06",
"B33.23","","Infectious","Viral pericarditis","Pericarditis (Viral)","","2021-05-06",
"J15.9","","Infectious","Unspecified bacterial pneumonia","Pneumonia Bacterial","","2021-05-06",
"J12.89","","Infectious","Other viral pneumonia","Pneumonia Viral","","2021-05-06",
"A80.9","","Infectious","Acute poliomyelitis, unspecified","Polio","","2021-05-06",
"B96.5","","Infectious","Pseudomonas (aeruginosa) (mallei) (pseudomallei) as the cause of diseases classified elsewhere","Pseudomonas","","2021-05-06",
"A82.9","","Infectious","Rabies, unspecified","Rabies","","2021-05-06",
"J30.1","","Infectious","Allergic rhinitis due to pollen","Rhinitis Due to Pollen","","2021-05-06",
"B06.9","","Infectious","Rubella without complication","Rubella","","2021-05-06",
"B86","","Infectious","Scabies","Scabies","","2021-05-06",
"A38.9","","Infectious","Scarlet fever, uncomplicated","Scarlet Fever","","2021-05-06",
"A41.9","","Infectious","Sepsis, unspecified organism","Sepsis","","2021-05-06",
"J32.9","","Infectious","Chronic sinusitis, unspecified","Sinusitis Chronic","","2021-05-06",
"B03","","Infectious","Smallpox","Small Pox","","2021-05-06",
"A53.9","","Infectious","Syphilis, unspecified","Syphilis","","2021-05-06",
"A35","","Infectious","Other tetanus","Tetanus","","2021-05-06",
"A48.3","","Infectious","Toxic shock syndrome","Toxic Shock Syndrome","","2021-05-06",
"B58.9","","Infectious","Toxoplasmosis, unspecified","Toxoplasmosis","","2021-05-06",
"A71.9","","Infectious","Trachoma, unspecified","Trachoma","","2021-05-06",
"A59.9","","Infectious","Trichomoniasis, unspecified","Trichomoniasis","","2021-05-06",
"A15.9","","Infectious","Respiratory tuberculosis unspecified","Tuberculosis Lung","","2021-05-06",
"A75.9","","Infectious","Typhus fever, unspecified","Typhus Fever","","2021-05-06",
"A92.39","","Infectious","West Nile virus infection with other complications","West Nile Virus","","2021-05-06",
"A37.91","","Infectious","Whooping cough, unspecified species with pneumonia","Whooping Cough w/o Pneumonia","","2021-05-06",
"A37.90","","Infectious","Whooping cough, unspecified species without pneumonia","Whooping Cough w/Pneumonia","","2021-05-06",
"B02.9","","Infectious","Zoster without complications","Zoster","","2021-05-06",
"M54.9","","Musculoskeletal","Dorsalgia, unspecified","Back Pain","","2021-05-06",
"M62.48","","Musculoskeletal","Contracture of muscle, other site","Contractures","","2021-05-06",
"M1A..0","","Musculoskeletal","#N/A","Gout","","2021-05-06",
"M62.58","","Musculoskeletal","Muscle wasting and atrophy, not elsewhere classified, other site","Muscle Wasting","","2021-05-06",
"M19.90","","Musculoskeletal","Unspecified osteoarthritis, unspecified site","Osteoarthritis","","2021-05-06",
"M86.9","","Musculoskeletal","Osteomyelitis, unspecified","Osteomyelitis","","2021-05-06",
"M62.82","","Musculoskeletal","Rhabdomyolysis","Rhabdomyolysis","","2021-05-06",
"M75.10","","Musculoskeletal","Unspecified rotator cuff tear or rupture, not specified as traumatic","Rotator Cuff Tear","","2021-05-06",
"M54.30","","Musculoskeletal","Sciatica, unspecified side","Sciatica","","2021-05-06",
"M43.20","","Musculoskeletal","Fusion of spine, site unspecified","Spinal Fusion","","2021-05-06",
"M43.22","","Musculoskeletal","Fusion of spine, cervical region","Spinal Fusion (Cervical)","","2021-05-06",
"M43.26","","Musculoskeletal","Fusion of spine, lumbar region","Spinal Fusion (Lumbar)","","2021-05-06",
"M43.24","","Musculoskeletal","Fusion of spine, thoracic region","Spinal Fusion (Thoracic)","","2021-05-06",
"M54.10","","Musculoskeletal","Radiculopathy, site unspecified","Spinal Radiculopathy","","2021-05-06",
"M48.00","","Musculoskeletal","Spinal stenosis, site unspecified","Spinal Stenosis","","2021-05-06",
"M48.50","","Musculoskeletal","Collapsed vertebra, not elsewhere classified, site unspecified","Spinal Vertebral Collapse","","2021-05-06",
"M84.38","","Musculoskeletal","Stress fracture, other site","Stress Fracture","","2021-05-06",
"G30.9","","Neuro","Alzheimer's disease, unspecified","Alzheimer's Disease","","2021-05-06",
"I69.120","","Neuro","Aphasia following nontraumatic intracerebral hemorrhage","Aphasia Post CVA","","2021-05-06",
"G56.00","","Neuro","Carpal tunnel syndrome, unspecified upper limb","Carpal Tunnel Syndrome","","2021-05-06",
"I63.9","","Neuro","Cerebral infarction, unspecified","Cerebral Infarction","","2021-05-06",
"I67.82","","Neuro","Cerebral ischemia","Cerebral Ischemia","","2021-05-06",
"G80.9","","Neuro","Cerebral palsy, unspecified","Cerebral Palsy","","2021-05-06",
"I69.11","","Neuro","Cognitive deficits following nontraumatic intracerebral hemorrhage","Deficits Post CVA","","2021-05-06",
"I69.121","","Neuro","Dysphasia following nontraumatic intracerebral hemorrhage","Difficulty Speaking Post CVA","","2021-05-06",
"G24.9","","Neuro","Dystonia, unspecified","Dystonia","","2021-05-06",
"G40.1","","Neuro","Localization-related (focal) (partial) symptomatic epilepsy and epileptic syndromes with simple partial seizures","Epilepsy (Focal)","","2021-05-06",
"G40.319","","Neuro","Generalized idiopathic epilepsy and epileptic syndromes, intractable, without status epilepticus","Epilepsy (Seizures)","","2021-05-06",
"G40.803","","Neuro","Other epilepsy, intractable, with status epilepticus","Epilepsy (w/Status Epilepticus)","","2021-05-06",
"I62.1","","Neuro","Nontraumatic extradural hemorrhage","Extradural Hemorrhage","","2021-05-06",
"G61.0","","Neuro","Guillain-Barre syndrome","Guillain-Barre Syndrome","","2021-05-06",
"G44.89","","Neuro","Other headache syndrome","Headache","","2021-05-06",
"G81","","Neuro","Hemiplegia and hemiparesis","Hemiplegia & Hemiparesis","","2021-05-06",
"I69.159","","Neuro","Hemiplegia and hemiparesis following nontraumatic intracerebral hemorrhage affecting unspecified side","Hemiplegia Post CVA","","2021-05-06",
"G10","","Neuro","Huntington's disease","Huntington's Disease","","2021-05-06",
"I61.9","","Neuro","Nontraumatic intracerebral hemorrhage, unspecified","Intracerebral Hemorrhage","","2021-05-06",
"G43.919","","Neuro","Migraine, unspecified, intractable, without status migrainosus","Migraines","","2021-05-06",
"G35","","Neuro","Multiple sclerosis","Multiple Sclerosis","","2021-05-06",
"G82.20","","Neuro","Paraplegia, unspecified","Paraplegia","","2021-05-06",
"G20","","Neuro","Parkinson's disease","Parkinson's Disease","","2021-05-06",
"G82.50","","Neuro","Quadriplegia, unspecified","Quadriplegia","","2021-05-06",
"G47.30","","Neuro","Sleep apnea, unspecified","Sleep Apnea","","2021-05-06",
"I69.12","","Neuro","Speech and language deficits following nontraumatic intracerebral hemorrhage","Speech Deficit Post CVA","","2021-05-06",
"I60.7","","Neuro","Nontraumatic subarachnoid hemorrhage from unspecified intracranial artery","Subarachnoid Hemorrhage","","2021-05-06",
"I62.00","","Neuro","Nontraumatic subdural hemorrhage, unspecified","Subdural Hemorrhage","","2021-05-06",
"P03.0","","Newborn","Newborn affected by breech delivery and extraction","Breech Delivery","","2021-05-06",
"P29.81","","Newborn","Cardiac arrest of newborn","Cardiac Arrest","","2021-05-06",
"P02.5","","Newborn","Newborn affected by other compression of umbilical cord","Compressed Cord","","2021-05-06",
"P91.61","","Newborn","Mild hypoxic ischemic encephalopathy [HIE]","Hypoxic Encephalopathy - Mild","","2021-05-06",
"P91.62","","Newborn","Moderate hypoxic ischemic encephalopathy [HIE]","Hypoxic Encephalopathy - Moderate","","2021-05-06",
"P91.63","","Newborn","Severe hypoxic ischemic encephalopathy [HIE]","Hypoxic Encephalopathy - Severe","","2021-05-06",
"P07.10","","Newborn","Other low birth weight newborn, unspecified weight","Low Birth Weight","","2021-05-06",
"P04.3","","Newborn","Newborn affected by maternal use of alcohol","Maternal Alcohol Use","","2021-05-06",
"P01.9","","Newborn","Newborn affected by maternal complication of pregnancy, unspecified","Maternal Complications","","2021-05-06",
"P04.2","","Newborn","Newborn affected by maternal use of tobacco","Maternal Smoking","","2021-05-06",
"P04.4","","Newborn","Newborn affected by maternal use of drugs of addiction","Maternal Substance Use","","2021-05-06",
"P03.82","","Newborn","Meconium passage during delivery","Meconium Aspiration","","2021-05-06",
"P24.01","","Newborn","Meconium aspiration with respiratory symptoms","Meconium Aspiration w/Resp Distress","","2021-05-06",
"P59.9","","Newborn","Neonatal jaundice, unspecified","Neonatal Jaundice","","2021-05-06",
"P02.3","","Newborn","Newborn affected by placental transfusion syndromes","Placental Transfusion Syndrome","","2021-05-06",
"P08.21","","Newborn","Post-term newborn","Post-term","","2021-05-06",
"P03.5","","Newborn","Newborn affected by precipitate delivery","Precipitate Delivery","","2021-05-06",
"P01.1","","Newborn","Newborn affected by premature rupture of membranes","Premature ROM","","2021-05-06",
"P07.30","","Newborn","Preterm newborn, unspecified weeks of gestation","Pre-term","","2021-05-06",
"P02.4","","Newborn","Newborn affected by prolapsed cord","Prolapsed Cord","","2021-05-06",
"P22.0","","Newborn","Respiratory distress syndrome of newborn","Resp Distress Syndrome","","2021-05-06",
"P36.9","","Newborn","Bacterial sepsis of newborn, unspecified","Sepsis Bacterial","","2021-05-06",
"O99.810","","OB","Abnormal glucose complicating pregnancy","Abnormal Glucose During Pregnancy","","2021-05-06",
"O99.310","","OB","Alcohol use complicating pregnancy, unspecified trimester","Alcohol Abuse During Pregnancy","","2021-05-06",
