"Value","CodeType","Category","SourceLabel","SuggestedLabel","Note","Date",
"7213","RxNorm","","ipratropium","Ipratropium (Atrovent)","","2021-05-06",
"6130","RxNorm","","ketamine","Ketamine (Ketalar)","","2021-05-06",
"35827","RxNorm","","ketorolac","Ketorolac (Toradol)","","2021-05-06",
"6185","RxNorm","","labetalol","Labetalol (Normodyne)","","2021-05-06",
"1008377","RxNorm","","calcium chloride / lactate / potassium chloride / sodium chloride","Lactated ringers (LR, RL)","","2021-05-06",
"237159","RxNorm","","levalbuterol","Levalbuterol (Xopenex)","","2021-05-06",
"6387","RxNorm","","lidocaine","Lidocaine","","2021-05-06",
"6470","RxNorm","","lorazepam","Lorazepam (Ativan)","","2021-05-06",
"6585","RxNorm","","magnesium sulfate","Magnesium sulfate","","2021-05-06",
"6902","RxNorm","","methylprednisolone","Methylprednisolone (Solu-Medrol)","","2021-05-06",
"6918","RxNorm","","metoprolol","Metoprolol (Lopressor)","","2021-05-06",
"6960","RxNorm","","midazolam","Midazolam","","2021-05-06",
"7052","RxNorm","","morphine","Morphine","","2021-05-06",
"7242","RxNorm","","naloxone","Naloxone (Narcan)","","2021-05-06",
"7396","RxNorm","","nicardipine","Nicardipine (Cardene)","","2021-05-06",
"4917","RxNorm","","nitroglycerin","Nitroglycerin","Includes spray, tab, paste","2021-05-06",
"7512","RxNorm","","norepinephrine","Norepinephrine (Levophed)","","2021-05-06",
"26225","RxNorm","","ondansetron","Ondansetron (Zofran)","","2021-05-06",
"7806","RxNorm","","oxygen","Oxygen","","2021-05-06",
"8163","RxNorm","","phenylephrine","Phenylephrine (Sudafed)","","2021-05-06",
"8591","RxNorm","","potassium chloride","Potassium chloride","","2021-05-06",
"8745","RxNorm","","promethazine","Promethazine (Phenergan)","","2021-05-06",
"8782","RxNorm","","propofol","Propofol (Diprivan)","","2021-05-06",
"68139","RxNorm","","rocuronium","Rocuronium (Zemuron)","","2021-05-06",
"36676","RxNorm","","sodium bicarbonate","Sodium bicarbonate","","2021-05-06",
"313002","RxNorm","","sodium chloride 9 MG/ML Injectable Solution","Sodium chloride (Normal Saline)","Includes Sodium Chloride Irrigation, Sodium Chloride 0.154 Injectable; 11/20/20 Updated the RXNorm code from 1807639 to 313002 to reflect accurate EMS application. Updated RXNorm description to match the updated code.","2021-05-06",
"10154","RxNorm","","succinylcholine","Succinylcholine (Anectine)","","2021-05-06",
"10368","RxNorm","","terbutaline","Terbutaline (Brethine)","","2021-05-06",
"10454","RxNorm","","thiamine","Thiamine","","2021-05-06",
"10691","RxNorm","","tranexamic acid","Tranexamic acid (TXA)","","2021-05-06",
"11124","RxNorm","","vancomycin","Vancomycin","","2021-05-06",
"11149","RxNorm","","vasopressin (USP)","Vasopressin","","2021-05-06",
"71535","RxNorm","","vecuronium","Vecuronium (Norcuron)","","2021-05-06",
"116762002","SNOMED-CT","","Administration of blood product","Blood product","","2021-05-06",
"116795008","SNOMED-CT","","Transfusion of cryoprecipitate","Cryoprecipitate","","2021-05-06",
"116861002","SNOMED-CT","","Transfusion of fresh frozen plasma","Plasma","","2025-01-14",
"116865006","SNOMED-CT","","Administration of albumin","Albumin","","2021-05-06",
"180208003","SNOMED-CT","","Intravenous blood transfusion of platelets","Platelets","","2021-05-06",
"33389009","SNOMED-CT","","Transfusion of whole blood","Whole blood","","2021-05-06",
"71493000","SNOMED-CT","","Transfusion of packed red blood cells","Packed red blood cells (RBC)","","2021-05-06",
