"DatasetName","DatasetType","ElementNumber","ElementName","V2Number","National","State","Definition","Usage","Comment","V3Changes","MinOccurs","MaxOccurs","IsNillable","DataType","NV","PN","PNNill","NVList","PNList","minLength","maxLength","length","minInclusive","maxInclusive","minExclusive","totalDigits","fractionDigits","pattern",
"DEMDataSet","element","dAgency.02","EMS Agency Number","D01_01","National","State","The state-assigned provider number of the responding agency","Mandatory","This is the primary identifier for the entire Demographic Section.  Each of the Demographic sections must be associated with an EMS Agency Number. An EMS Agency can have more than one Agency Number within a state. This reflects the ability for an EMS Agency to have a different number for each service type or location (based on state implementation). 							The EMS Agency Number in dAgency.02 can be used to auto-populate eResponse.01 EMS Agency Number in the EMS Event section.","","1","1","","EMSAgencyNumber","","","","","","1","15","","","","","","","",
"DEMDataSet","element","dAgency.03","EMS Agency Name","D01_02","","State","The formal name of the agency.","Recommended","","","0","1","Nillable","EMSAgencyName","NV","","","NV.NotReporting; NV.NotRecorded; NV.NotApplicable; ","","2","100","","","","","","","",
"DEMDataSet","element","dAgency.04","EMS Agency State","D01_03","National","State","The state/territory which assigned the EMS agency number.","Mandatory","This has been clarified to reflect that it is the state in which the EMS Agency resides and the state associated with the EMS Agency number. 										<br/><br/>GNIS Codes Website: <a>http://geonames.usgs.gov/domestic/download_data.htm</a>","","1","1","","ANSIStateCode","","","","","","","","2","","","","","","",
"DEMDataSet","element","dAgency.05","EMS Agency Service Area States","","National","State","The states in which the EMS Agency provides services including the state associated with the EMS Agency Number.","Mandatory","Element added to document all of the states in which the EMS agency provides services. Each state listed is associated with the counties, census tracts, and ZIP codes within the EMS Agency Service Area for each state. 													<br/><br/>GNIS Codes Website: <a>http://geonames.usgs.gov/domestic/download_data.htm</a>","","1","1","","ANSIStateCode","","","","","","","","2","","","","","","",
"DEMDataSet","element","dAgency.06","EMS Agency Service Area County(s)","D01_04","National","State","The county(s) within each state for which the agency formally provides service.","Mandatory","Each state listed is associated with the counties, census tracts, and ZIP codes within the EMS Agency Service Area for each state. County codes are based on ISO/ANSI codes. 													 It is a 5-digit code based on state (2-digit) and county (5-digit). <br/><br/>GNIS Codes Website: <a>http://geonames.usgs.gov/domestic/download_data.htm</a>","","1","M","","ANSICountyCode","","","","","","","","5","","","","","","",
"DEMDataSet","element","dAgency.07","EMS Agency Census Tracts","","National","State","The US census tracts in which the EMS agency formally provides service.","Required","This data element was added to better document the service area of the EMS Agency. Each state listed is associated with the counties, census tracts, and ZIP codes within the EMS Agency Service Area for each state. 													<br/><br/>Census Tract Data Website (files and descriptions): <a>http://www.census.gov/geo/www/2010census/tract_rel/tract_rel.html</a>","","1","M","Nillable","CensusTracts","NV","","","NV.NotRecorded; NV.NotApplicable; ","","1","15","","","","","","","",
"DEMDataSet","element","dAgency.08","EMS Agency Service Area ZIP Codes","","National","State","The ZIP codes for the EMS Agency's service area.","Required","This data element was added to better document the service area of the EMS Agency. Each state listed is associated with the counties, census tracts, and ZIP codes within the EMS Agency Service Area for each state. 													<br/><br/>Zip Codes Product Website: <a>https://www.zipcodedownload.com/Products/Product/Z5Commercial/Standard/Overview/</a> <br/>Product: USA - 5-digit ZIP Code Database, Commercial Edition","","1","M","Nillable","ZIP","NV","","","NV.NotRecorded; NV.NotApplicable; ","","","","","","","","","","[0-9]{5}|[0-9]{5}-[0-9]{4}|[0-9]{5}-[0-9]{5}|[A-Z][0-9][A-Z] [0-9][A-Z][0-9]",
"DEMDataSet","element","dAgency.09","Primary Type of Service","D01_05","National","State","The primary service type provided by the agency.","Mandatory","The Primary Type of Service is associated with each of the EMS Agency Numbers.","","1","1","","TypeOfService","","","","","","","","","","","","","","",
"DEMDataSet","element","dAgency.10","Other Types of Service","D01_06","","State","The other service type(s) which are provided by the agency.","Recommended","If no other services are provided beyond the Primary Service Type, Not Applicable should be used. This should include all of the types of services not listed in (dAgency.09) Primary Type of Service.","","0","M","Nillable","TypeOfService","NV","","","NV.NotReporting; NV.NotRecorded; NV.NotApplicable; ","","","","","","","","","","",
"DEMDataSet","element","dAgency.11","Level of Service","D01_07","National","State","The level of service which the agency provides EMS care for every request for service (the minimum certification level). This may be the license level granted by the state EMS office.","Mandatory","The Level of Service is associated with the specific EMS Agency Number (dAgency.02) for the EMS Agency. For example a BLS licensed ambulance service (EMT-Basic) with EMT-Intermediate or EMT-Paramedic on staff, the appropriate level of service is "EMT-Basic". This  is because the care provided to patients is limited to BLS skills. 							<br/><br/>The category EMT-Intermediate includes EMS professionals with an “85” or “99” certification level.","","1","1","","StateCertificationLicensureLevels","","","","","","","","","","","","","","",
"DEMDataSet","element","dAgency.12","Organization Status","D01_09","National","State","The primary organizational status of the agency. The definition of Volunteer or Non-Volunteer is based on state or local definitions.","Mandatory","The Organizational Status is associated with the EMS Agency and the specific EMS Agency Number (dAgency.02).","","1","1","","OrganizationStatus","","","","","","","","","","","","","","",
"DEMDataSet","element","dAgency.13","Organizational Type","D01_08","National","State","The organizational structure from which EMS services are delivered (fire, hospital, county, etc.)","Mandatory","Organizational Type is associated with the EMS Agency and the specific EMS Agency Number (dAgency.02).","","1","1","","OrganizationalType","","","","","","","","","","","","","","",
"DEMDataSet","element","dAgency.14","EMS Agency Organizational Tax Status","","National","State","The EMS Agencies business/corporate organizational tax status","Mandatory","Associated with the EMS Agency for the specific EMS Agency Number (dAgency.02).","","1","1","","AgencyOrganizationalTaxStatus","","","","","","","","","","","","","","",
"DEMDataSet","element","dAgency.15","Statistical Calendar Year","D01_10","National","State","The calendar year to which the information pertains for the EMS Agency and the specific EMS Agency Number (dAgency.02).","Mandatory","Added Calendar Year to the definition to remove confusion noted in draft comments. Will allow multiple entry to allow data to be stored on several years. This statistical information is associated with the EMS Agency's specific EMS Agency Number (dAgency.02) and elements dAgency.16 through dAgency.22","","1","1","","Year","","","","","","","","","1900","2050","","","","",
"DEMDataSet","element","dAgency.16","Total Primary Service Area Size","D01_12","National","State","The total square miles in the agency's service area.","Required","This statistical information is associated with the EMS Agency's specific EMS Agency Number (dAgency.02). A value should be associated with each with (dAgency.15) Statistical Calendar Year","","1","1","Nillable","AnnualAgencyStatistics","NV","","","NV.NotRecorded; NV.NotApplicable; ","","","","","1","4000000","","","","",
"DEMDataSet","element","dAgency.17","Total Service Area Population","D01_13","National","State","The total population in the agency's service area based if possible on year 2010 census data.","Required","This statistical information is associated with the EMS Agency's specific EMS Agency Number (dAgency.02). A value should be associated with each with (dAgency.15) Statistical Calendar Year.","","1","1","Nillable","AnnualAgencyStatistics","NV","","","NV.NotRecorded; NV.NotApplicable; ","","","","","1","4000000","","","","",
"DEMDataSet","element","dAgency.18","911 EMS Call Center Volume per Year","D01_14","National","State","The number of 911 calls received by the call center during the last calendar year","Required","This statistical information is associated with the EMS Agency's specific EMS Agency Number (dAgency.02). A value should be associated with each with (dAgency.15) Statistical Calendar Year.","Name Clarified with "Call Center"","1","1","Nillable","AnnualAgencyStatistics","NV","","","NV.NotRecorded; NV.NotApplicable; ","","","","","1","4000000","","","","",
"DEMDataSet","element","dAgency.19","EMS Dispatch Volume per Year","D01_15","National","State","The number of EMS dispatches during the last calendar year","Required","This statistical information is associated with the EMS Agency's specific EMS Agency Number (dAgency.02). A value should be associated with each with (dAgency.15) Statistical Calendar Year.","","1","1","Nillable","AnnualAgencyStatistics","NV","","","NV.NotRecorded; NV.NotApplicable; ","","","","","1","4000000","","","","",
"DEMDataSet","element","dAgency.20","EMS Patient Transport Volume per Year","D01_16","National","State","The number of EMS transports per year based on last calendar year.","Required","This statistical information is associated with the EMS Agency's specific EMS Agency Number (dAgency.02). A value should be associated with each with (dAgency.15) Statistical Calendar Year.","","1","1","Nillable","AnnualAgencyStatistics","NV","","","NV.NotRecorded; NV.NotApplicable; ","","","","","1","4000000","","","","",
"DEMDataSet","element","dAgency.21","EMS Patient Contact Volume per Year","D01_17","National","State","The number of EMS patient contacts per year based on last calendar year.","Required","This statistical information is associated with the EMS Agency's specific EMS Agency Number (dAgency.02). A value should be associated with each with (dAgency.15) Statistical Calendar Year.","","1","1","Nillable","AnnualAgencyStatistics","NV","","","NV.NotRecorded; NV.NotApplicable; ","","","","","1","4000000","","","","",
"DEMDataSet","element","dAgency.22","EMS Billable Calls per Year","D01_18","","State","The number of EMS patient encounters which are billable based on the last calendar year.","Recommended","This statistical information is associated with the EMS Agency's specific EMS Agency Number (dAgency.02). A value should be associated with each with (dAgency.15) Statistical Calendar Year.","","0","1","Nillable","AnnualAgencyStatistics","NV","","","NV.NotRecorded; NV.NotApplicable; ","","","","","1","4000000","","","","",
"DEMDataSet","element","dAgency.23","EMS Agency Time Zone","D01_19","","","The time zone for the EMS Agency.","Optional","Associated with each of the EMS Agency Number (dAgency.02). If more than one Time Zone is located within the EMS Agency service area, please chose the time zone covering the greatest volume of EMS events.","","0","1","","EMSAgencyTimeZone","","","","","","","","","","","","","","",
"DEMDataSet","element","dAgency.24","EMS Agency Daylight Savings Time Use","D01_20","","","Indicate if the EMS Agency conforms to Daylight Savings Time.","Optional","Associated with each of the EMS Agency Number (dAgency.02). If the EMS Agency service area contains areas with variations in Daylight Savings Time implementation, choose the response which best represents the majority of the EMS events.","","0","1","","YesNoValues","","","","","","","","","","","","","","",
"DEMDataSet","element","dAgency.25","National Provider Identifier","D01_21","National","State","The National Provider Identifier associated with National Provider System (NPS) and used in all standard HIPPA transactions such as electronic claim filing.","Required","","","1","M","Nillable","NationalProviderIdentifier","NV","","","NV.NotRecorded; NV.NotApplicable; ","","","","10","","","","","","",
"DEMDataSet","element","dAgency.26","Fire Department ID Number","","National","State","The state assigned Fire Department ID Number for EMS Agency(s) operating within a Fire Department.","Required","Fire Department ID was added to better integrate Fire Department EMS Agencies and linkage to other EMS related data systems such as NFIRS.","Added to better associate Fire and EMS licensure and operational identifiers.","1","M","Nillable","FireDepartmentIDNumber","NV","","","NV.NotRecorded; NV.NotApplicable; ","","1","20","","","","","","","",
"DEMDataSet","element","dContact.01","Agency Contact Type","","","State","The contact type within the EMS agency.","Recommended","","","0","1","Nillable","AgencyContactType","NV","","","NV.NotReporting; NV.NotRecorded; NV.NotApplicable; ","","","","","","","","","","",
"DEMDataSet","element","dContact.02","Agency Contact Last Name","D02_01","","State","The Last Name of the agency's primary contact.","Recommended","","","0","1","Nillable","PersonLastName","NV","","","NV.NotReporting; NV.NotRecorded; NV.NotApplicable; ","","1","50","","","","","","","",
"DEMDataSet","element","dContact.03","Agency Contact First Name","D02_03","","State","The first name of the agency's primary contact.","Recommended","","","0","1","Nillable","PersonFirstName","NV","","","NV.NotReporting; NV.NotRecorded; NV.NotApplicable; ","","1","50","","","","","","","",
"DEMDataSet","element","dContact.04","Agency Contact Middle Name/Initial","D02_02","","","The middle name or initial of the agency's primary contact.","Optional","","","0","1","","PersonMiddleName","","","","","","1","50","","","","","","","",
"DEMDataSet","element","dContact.05","Agency Contact Address","D02_04","","State","The street address of the agency contact's mailing address.","Recommended","The address for the director/chief/lead administrator/CEO/ should be the main address for the EMS agency.","","0","1","Nillable","StreetAddress","NV","","","NV.NotReporting; NV.NotRecorded; NV.NotApplicable; ","","1","55","","","","","","","",
"DEMDataSet","element","dContact.06","Agency Contact City","D02_05","","State","The city of the Agency contact's mailing address.","Recommended","The address for the director/chief/lead administrator/CEO/ should be the main address for the EMS agency.<br/><br/>Based on GNIS Civil Code or Populated Place code.<br/><br/>GNIS Codes Website: <a>http://geonames.usgs.gov/domestic/download_data.htm</a>","","0","1","Nillable","CityGnisCode","NV","","","NV.NotReporting; NV.NotRecorded; NV.NotApplicable; ","","","","","","","","","","",
"DEMDataSet","element","dContact.07","Agency Contact State","D02_06","","State","The state of the Agency contact's mailing address.","Recommended","The address for the director/chief/lead administrator/CEO/ should be the main address for the EMS agency. Based on the state ANSI Code. For individuals living outside the USA full address to be entered in the address line. 										<br/><br/>GNIS Codes Website: <a>http://geonames.usgs.gov/domestic/download_data.htm</a>","","0","1","Nillable","ANSIStateCode","NV","","","NV.NotReporting; NV.NotRecorded; NV.NotApplicable; ","","","","2","","","","","","",
"DEMDataSet","element","dContact.08","Agency Contact ZIP Code","D02_07","","State","The ZIP code of the Agency's contact's mailing address.","Recommended","The address for the director/chief/lead administrator/CEO/ should be the main address for the EMS agency.<br/><br/>Zip Codes Product Website: <a>https://www.zipcodedownload.com/Products/Product/Z5Commercial/Standard/Overview/</a> <br/>Product: USA - 5-digit ZIP Code Database, Commercial Edition.","","0","1","Nillable","ZIP","NV","","","NV.NotReporting; NV.NotRecorded; NV.NotApplicable; ","","","","","","","","","","[0-9]{5}|[0-9]{5}-[0-9]{4}|[0-9]{5}-[0-9]{5}|[A-Z][0-9][A-Z] [0-9][A-Z][0-9]",
"DEMDataSet","element","dContact.09","Agency Contact Country","","","","The Country code of the Agency's contact's mailing address.","Optional","The International Organization for Standardization (ISO) ISO 3166-1-alpha-2 code element for the country. The address for the director/chief/lead administrator/CEO/ should be the main address for the EMS agency. For individuals living outside the USA full address to be entered in the address line. <br/><br/>ANSI Country Codes (ISO 3166): <a>http://www.iso.org/iso/country_codes/iso_3166_code_lists.htm</a>","","0","1","","ANSICountryCodesCAMXUS","","","","","","","","","","","","","","",
"DEMDataSet","element","dContact.10","Agency Contact Phone Number","D02_08","","State","Agency contact phone number.","Recommended","","","0","M","Nillable","PhoneNumber","NV","","","NV.NotReporting; NV.NotRecorded; NV.NotApplicable; ","","","","","","","","","","[2-9][0-9][0-9]-[2-9][0-9][0-9]-[0-9][0-9][0-9][0-9]",
"DEMDataSet","element","dContact.11","Agency Contact Email Address","D02_10","","State","The primary email address of the Agency contact.","Recommended","The address for the director/chief/lead administrator/CEO/ should be the main address for the EMS agency.","","0","M","Nillable","EmailAddress","NV","","","NV.NotReporting; NV.NotRecorded; NV.NotApplicable; ","","3","100","","","","","","",".+@.+",
"DEMDataSet","element","dContact.12","EMS Agency Contact Web Address","D02_11","","State","The primary website address of the agency.","Recommended","The address for the director/chief/lead administrator/CEO/ should be the main address for the EMS agency. Web Address is not required for other contact types.","","0","1","Nillable","WebAddress","NV","","","NV.NotReporting; NV.NotRecorded; NV.NotApplicable; ","","3","255","","","","","","","",
"DEMDataSet","element","dContact.13","Agency Medical Director Degree","","","State","The medical school degree type of the EMS Medical Director.","Recommended","The Medical Director Information has been merged into Section dContact. This data element is now associated with the Medical Director and Assistant Medical Director Contacts in Section dContact.","","0","1","Nillable","AgencyMedicalDirectorDegree","NV","","","NV.NotReporting; NV.NotRecorded; NV.NotApplicable; ","","","","","","","","","","",
"DEMDataSet","element","dContact.14","Agency Medical Director Board Certification Type","","","State","Documentation of the type of board certification of the EMS Agency Medical Director.","Recommended","This is based on the American Board of Medical Specialties List of Certifications. The Medical Director Information from Section D02 of NEMSIS Version 2.2.1 has been merged into Version 3 Section dContact.","","0","M","Nillable","AgencyMedicalDirectorBoardCertificationType","NV","","","NV.NotReporting; NV.NotRecorded; NV.NotApplicable; ","","","","","","","","","","",
"DEMDataSet","element","dContact.15","Medical Director Compensation","","","","Indication of Medical Director's Compensation.","Optional","Associated with EMS Medical Directors only.","","0","1","","MedicalDirectorCompensation","","","","","","","","","","","","","","",
"DEMDataSet","element","dContact.16","EMS Medical Director Fellowship Trained Status","","","","Indication if the EMS Medical Director is Fellowship trained.","Optional","","","0","1","","YesNoValues","","","","","","","","","","","","","","",
"DEMDataSet","element","dConfiguration.01","State Associated with the Certification/Licensure Levels","","National","State","The state associated with the state certification/licensure levels.","Mandatory","Associated with the state (dAgency.01 - EMS Agency State).  										<br/><br/>GNIS Codes Website: <a>http://geonames.usgs.gov/domestic/download_data.htm</a> 										<br/><br/>The state EMS system does not need to import this information into their database.  Reference the Demographic Dataset Submission Guide for further details.","","1","1","","ANSIStateCode","","","","","","","","2","","","","","","",
"DEMDataSet","element","dConfiguration.02","State Certification Licensure Levels","D04_01","National","State","All of the potential levels of certification/licensure for EMS personnel recognized by the state.","Mandatory","The new 2009 Education Levels have been added. The category EMT-Intermediate includes EMS professionals with an “85” or “99” certification level. 										<br/><br/>The state EMS system does not need to import this information into their database.  Reference the Demographic Dataset Submission Guide for further details.","","1","M","","LicensureLevels","","","","","","","","","","","","","","",
"DEMDataSet","element","dConfiguration.03","Procedures Permitted by the State","","National","State","A list of all of the procedures permitted by the EMS Agency's licensing state.","Required","This data element should capture all of the procedures permitted by the state for any/all levels of EMS personnel in the state. This is associated with the EMS Agency State (dAgency.01). This is related to the EMS Agency's procedures (dConfiguration.07) which have been implemented within the EMS System. 										<br/><br/>State EMS systems which have regulatory authority to determine the procedures statewide may identify SNOMEDCT procedure codes based on medical direction and their own need.										 										<br/><br/>Code list is represented in SNOMEDCT: Reference the NEMSIS Suggested Lists at: http://nemsis.org/v3/resources.html							 										<br/><br/>SNOMEDCT 										<br/>Website: http://www.nlm.nih.gov/research/umls/Snomed/snomed_main.html 										<br/>Product: Product - UMLS Metathesaurus 										<br/><br/>The EMS agency should submit “Not Applicable” and “Nil” to the state system for the demographic export. The state EMS system does not need to import this information into their database.  It is the responsibility of the state to submit this element to the national EMS database (NEMSIS).  Reference the Demographic Dataset Submission Guide for further details.","","1","M","Nillable","snomed","NV","","","NV.NotRecorded; NV.NotApplicable; ","","","","","100000","1000000000","","","","",
"DEMDataSet","element","dConfiguration.04","Medications Permitted by the State","","National","State","A list of all of the medications permitted by the state to be used by each EMS state certification/licensure level.","Required","This data element should capture all of the medications permitted by the state for any/all levels of EMS personnel in the state. 										This should be stored as an RxNorm (RXCUI) Code. This is associated with the EMS Agency State (dAgency.01). 										<br/><br/>The EMS agency should submit “Not Applicable” and “Nil” to the state system for the demographic export.  										The state EMS system does not need to import this information into their database. It is the responsibility of the state to submit this element to the national EMS database (NEMSIS).  										Reference the Demographic Dataset Submission Guide for further details.","State EMS systems which have regulatory authority to identify medications to be administered within the state may identify specific RxNorm codes based on medical direction and their own need. 										<br/><br/>List of medications based on RxNorm (RXCUI) code.  										<br/><br/>Reference the NEMSIS Suggested Lists at: http://nemsis.org/v3/resources.html											 										<br/><br/>RxNorm 										<br/>Website - http://uts.nlm.nih.gov 										 										<br/><br/>Product - UMLS Metathesaurus 										<br/>Website - http://www.nlm.nih.gov/research/umls/rxnorm/docs/rxnormfiles.html 										<br/>Product - RxNorm Full Monthly Release","1","M","Nillable","Medication","NV","","","NV.NotRecorded; NV.NotApplicable; ","","2","7","","","","","","","",
"DEMDataSet","element","dConfiguration.05","Protocols Permitted by the State","","National","State","A list of all of the protocols permitted by the state.","Required","This data element should capture all of the protocols permitted by the state for any/all levels of EMS personnel in the state.  This is associated with the EMS Agency State (dAgency.01). 										<br/><br/>States can add additional protocols to the list but the additional state protocols must map to these uniform codes. <br/><br/>The list is defined by the NASEMSO State Medical Directors. 										<br/><br/>The EMS agency should submit “Not Applicable” and “Nil” to the state system for the demographic export.  The state EMS system does not need to import this information into their database.  It is the responsibility of the state to submit this element to the national EMS database (NEMSIS).  Reference the Demographic Dataset Submission Guide for further details.","Added to better identify states with statewide protocols and define state EMS capability and care.","1","M","Nillable","ProtocolsUsed","NV","","","NV.NotRecorded; NV.NotApplicable; ","","","","","","","","","","",
"DEMDataSet","element","dConfiguration.06","EMS Certification Levels Permitted to Perform Each Procedure","D04_05","National","State","EMS certification levels which are permitted to perform the procedure listed in dConfiguration.07.","Mandatory","Using each certification level within the agency, indicate the approved procedures allowed utilizing dConfiguration.07 (EMS Agency Procedures). 													<br/><br/>The category EMT-Intermediate includes EMS professionals with an “85” or “99” certification level.","","1","1","","StateCertificationLicensureLevels","","","","","","","","","","","","","","",
"DEMDataSet","element","dConfiguration.07","EMS Agency Procedures","D04_04","National","State","A list of all procedures that the agency has implemented and available for use by any/all EMS certification levels.","Mandatory","This is associated with the EMS Agency Number (dAgency.02) since each EMS Agency Number may have different capabilities. Each procedure is associated with the EMS professional certification levels permitted to perform the procedure. <br/><br/>EMS Agencies may identify additional SNOMEDCT procedure codes based on medical direction and their own need.  If an agency resides in a state with statewide approved procedures, they should be listed/implemented here. <br/><br/>Code list is represented in SNOMEDCT: Reference the NEMSIS Suggested Lists at: http://nemsis.org/v3/resources.html						 										<br/><br/>SNOMEDCT 										<br/>Website: http://www.nlm.nih.gov/research/umls/Snomed/snomed_main.html 										<br/>Product: Product - UMLS Metathesaurus 										<br/><br/>The EMS agency should submit “Not Applicable” and “Nil” to the state system for the demographic export.  The state EMS system does not need to import this information into their database.  It is the responsibility of the state to submit this element to the national EMS database (NEMSIS).  Reference the Demographic Dataset Submission Guide for further details.","","1","M","","snomed","","","","","","","","","100000","1000000000","","","","",
"DEMDataSet","element","dConfiguration.08","EMS Certification Level Permitted to Administer Each Medication","D04_07","National","State","All EMS certification levels which are permitted to administer the medications listed in dConfiguration.09 (EMS Agency Medications).","Mandatory","Using each certification level within the agency, indicate the approved medications allowed utilizing dConfiguration.09 (EMS Agency Medications). 													<br/><br/>The category EMT-Intermediate includes EMS professionals with an “85” or “99” certification level.","","1","1","","StateCertificationLicensureLevels","","","","","","","","","","","","","","",
"DEMDataSet","element","dConfiguration.09","EMS Agency Medications","D04_06","National","State","A list of all medications the agency has implemented and have available for use.","Mandatory","The medication list is stored as the RxNorm (RXCUI) Code. This is associated with the EMS Agency Number (dAgency.02) since each EMS Agency Number may have different capabilities. <br/><br/>The EMS agency should submit “Not Applicable” and “Nil” to the state system for the demographic export. The state EMS system does not need to import this information into their database. It is the responsibility of the state to submit this element to the national EMS database (NEMSIS). Reference the Demographic Dataset Submission Guide for further details. <br/><br/>List of medications based on RxNorm (RXCUI) code. Reference the NEMSIS Suggested Lists at: http://nemsis.org/v3/resources.html						 <br/><br/>RxNorm <br/>Website - http://uts.nlm.nih.gov <br/><br/>Product - UMLS Metathesaurus <br/>Website - http://www.nlm.nih.gov/research/umls/rxnorm/docs/rxnormfiles.html <br/>Product - RxNorm Full Monthly Release","","1","M","","Medication","","","","","","2","7","","","","","","","",
"DEMDataSet","element","dConfiguration.10","EMS Agency Protocols","D04_08","National","State","A list of all of the EMS field protocols that the agency has in place and available for use.","Mandatory","This is associated with the EMS Agency Number (dAgency.02) since each EMS Agency Number may have different capabilities.  										<div style="font-size:6px">&nbsp;</div>State and local entities  can add additional protocols to the list but the additional protocols must map to these uniform codes.  										<div style="font-size:6px">&nbsp;</div>The list is defined by the NASEMSO State Medical Directors.","","1","M","","ProtocolsUsed","","","","","","","","","","","","","","",
"DEMDataSet","element","dConfiguration.11","EMS Agency Specialty Service Capability","","National","State","Special training or services provided by the EMS Agency and available to the EMS service area/community.","Mandatory","","","1","M","","AgencySpecialtyServiceCapability","","","","","","","","","","","","","","",
"DEMDataSet","element","dConfiguration.12","Billing Status","D04_10","","","Indication of whether the EMS agency routinely bills for any segment of the patient population.","Optional","Billing status is associated with each EMS Agency for the specific EMS Agency Number (dAgency.02).","","0","1","","YesNoValues","","","","","","","","","","","","","","",
"DEMDataSet","element","dConfiguration.13","Emergency Medical Dispatch (EMD) Provided to EMS Agency Service Area","","National","State","Indication as to whether Emergency Medical Dispatch is provided to the EMS Agency's service area.","Mandatory","Added to better document the implementation of Emergency Medical Dispatch. Associated with each EMS Agency and the specific EMS Agency Number (dAgency.02).","","1","1","","EMDtoAgencyServiceArea","","","","","","","","","","","","","","",
"DEMDataSet","element","dConfiguration.14","EMD Vendor","D04_17","","State","The vendor or company associated with the EMD Card set and algorithms.","Recommended","","","0","M","Nillable","EMDVendorType","NV","","","NV.NotReporting; NV.NotRecorded; NV.NotApplicable; ","","2","100","","","","","","","",
"DEMDataSet","element","dConfiguration.15","Patient Monitoring Capability(s)","","National","State","The EMS Agency's patient monitoring capability which can be provided to any/all patients presenting to EMS.","Mandatory","Added to identify the patient monitoring capability of the EMS Agency. Associated with each EMS Agency Number (dAgency.02) since each EMS Agency Number may have a different capability within each EMS Agency. Other patient monitoring capability may exist but NEMSIS Version 3 only includes these specific capabilities.","","1","M","","PatientMonitoringCapability","","","","","","","","","","","","","","",
"DEMDataSet","element","dConfiguration.16","Crew Call Sign","D04_02","National","State","The EMS crew call sign used to dispatch and communicate with the unit.  This may be the same as the EMS Unit/Vehicle Number in many agencies.","Mandatory","","","1","M","","AgencyCallSign","","","","","","1","50","","","","","","","",
"DEMDataSet","element","dConfiguration.17","Dispatch Center (CAD) Name or ID","","","","The name or ID of the dispatch center providing electronic data to the PCR for the EMS agency, if applicable.","Optional","This element can be used to identify the dispatch center (Primary or Secondary Service Answering Point - PSAP) that dispatches the EMS agency.  If the EMS agency is able to populate the Patient Care Report (PCR) with CAD specific details (times, incident address information, crew information, EMD, etc) the name or ID of the dispatch center should be documented. Information in dConfiguration.17 may be used to populate eDispatch.04 - Computer Aided Dispatch (CAD) Name or ID if a CAD integration exists.","Added to the dataset to assist in identifying the CAD / dispatch center providing information to the EMS agency and ePCR when there are multiple dispatch centers sending resources to the same EMS incident.","0","M","","DispatchCenterCADNameorID","","","","","","2","100","","","","","","","",
