"Value","CodeType","Category","SourceLabel","SuggestedLabel","Note","Date",
"Y93.G2","","Food Preparation","Activity, grilling and smoking food","Grilling or smoking food","","2021-05-06",
"Y93.G9","","Food Preparation","Activity, other involving cooking and grilling","Other activities involving cooking or grilling","","2021-05-06",
"Y93.7","","Hand Sports","Activities involving other specified sports and athletics","Hand sport or athletic activity","","2021-05-06",
"Y93.71","","Hand Sports","Activity, boxing","Boxing","","2021-05-06",
"Y93.74","","Hand Sports","Activity, frisbee","Frisbee","","2021-05-06",
"Y93.75","","Hand Sports","Activity, martial arts","Martial arts","","2021-05-06",
"Y93.79","","Hand Sports","Activity, other specified sports and athletics","Other specified sports or athletics activities","","2021-05-06",
"Y93.73","","Hand Sports","Activity, racquet and hand sports","Racquet or hand sports","","2021-05-06",
"Y93.72","","Hand Sports","Activity, wrestling","Wrestling","","2021-05-06",
"Y93.5","","Individual Sport","Activities involving other sports and athletics played individually","individual athletic activity","","2021-05-06",
"Y93.55","","Individual Sport","Activity, bike riding","Bike riding","","2021-05-06",
"Y93.54","","Individual Sport","Activity, bowling","Bowling","","2021-05-06",
"Y93.53","","Individual Sport","Activity, golf","Golf","","2021-05-06",
"Y93.52","","Individual Sport","Activity, horseback riding","Horseback riding","","2021-05-06",
"Y93.56","","Individual Sport","Activity, jumping rope","Jumping rope","","2021-05-06",
"Y93.57","","Individual Sport","Activity, non-running track and field events","Non-running track or field","","2021-05-06",
"Y93.59","","Individual Sport","Activity, other involving other sports and athletics played individually","Other athletics played individually activities","","2021-05-06",
"Y93.51","","Individual Sport","Activity, roller skating (inline) and skateboarding","Roller skating (inline) or skateboarding","","2021-05-06",
"Y93.J","","Instruments","Activities involving playing musical instrument","Playing musical instrument activity","","2021-05-06",
"Y93.J2","","Instruments","Activity, drum and other percussion instrument playing","Drum or other percussion instrument playing","","2021-05-06",
"Y93.J1","","Instruments","Activity, piano playing","Piano playing","","2021-05-06",
"Y93.J3","","Instruments","Activity, string instrument playing","String instrument playing","","2021-05-06",
"Y93.J4","","Instruments","Activity, winds and brass instrument playing","Winds or brass instrument playing","","2021-05-06",
"Y93.E","","Personal Hygiene of Home Activity","Activities involving personal hygiene and interior property and clothing maintenance","Personal hygiene, laundry, or interior property activity","","2021-05-06",
"Y93.E5","","Personal Hygiene of Home Activity","Activity, floor mopping and cleaning","Floor mopping or cleaning","","2021-05-06",
"Y93.E4","","Personal Hygiene of Home Activity","Activity, ironing","Ironing","","2021-05-06",
"Y93.E2","","Personal Hygiene of Home Activity","Activity, laundry","Laundry","","2021-05-06",
"Y93.E9","","Personal Hygiene of Home Activity","Activity, other interior property and clothing maintenance","Other activities involving interior property or clothing maintenance","","2021-05-06",
"Y93.E8","","Personal Hygiene of Home Activity","Activity, other personal hygiene","Other personal hygiene","","2021-05-06",
"Y93.E1","","Personal Hygiene of Home Activity","Activity, personal bathing and showering","Personal bathing or showering","","2021-05-06",
"Y93.E6","","Personal Hygiene of Home Activity","Activity, residential relocation","Residential relocation","","2021-05-06",
"Y93.E3","","Personal Hygiene of Home Activity","Activity, vacuuming","Vacuuming","","2021-05-06",
"Y93.H","","Property Management","Activities involving exterior property and land maintenance, building and construction","Exterior property activity","","2021-05-06",
"Y93.H3","","Property Management","Activity, building and construction","Building or construction","","2021-05-06",
"Y93.H1","","Property Management","Activity, digging, shoveling and raking","Digging, shoveling, or raking","","2021-05-06",
"Y93.H2","","Property Management","Activity, gardening and landscaping","Gardening or landscaping","","2021-05-06",
"Y93.H9","","Property Management","Activity, other involving exterior property and land maintenance, building and construction","Other activities involving exterior property or land maintenance, building or construction","","2021-05-06",
"Y93.I","","Rollercoasters","Activities involving roller coasters and other types of external motion","Roller coaster type activity","","2021-05-06",
"Y93.I1","","Rollercoasters","Activity, roller coaster riding","Roller coaster riding","","2021-05-06",
"Y93.I9","","Rollercoasters","Activity, other involving external motion","Other activities involving external motion","","2021-05-06",
"Y93.C","","Technology","Activities involving computer technology and electronic devices","Computer or electronic device activity","","2021-05-06",
"Y93.C1","","Technology","Activity, computer keyboarding","Computer keyboarding","","2021-05-06",
"Y93.C2","","Technology","Activity, hand held interactive electronic device","Hand held interactive electronic device","","2021-05-06",
"Y93.C9","","Technology","Activity, other involving computer technology and electronic devices","Other activities involving computer technology or electronic devices","","2021-05-06",
"Y93.8","","Unspecified Activity","Activities, other specified","Unspecified activity","","2021-05-06",
"Y93.89","","Unspecified Activity","Activity, other specified","Other specified","","2021-05-06",
"Y93.81","","Unspecified Activity","Activity, refereeing a sports activity","Refereeing a sports activity","","2021-05-06",
"Y93.83","","Unspecified Activity","Activity, rough housing and horseplay","Rough housing or horseplay","","2021-05-06",
"Y93.84","","Unspecified Activity","Activity, sleeping","Sleeping","","2021-05-06",
"Y93.82","","Unspecified Activity","Activity, spectator at an event","Spectator at an event","","2021-05-06",
"Y93.9","","Unspecified Activity","Activity, unspecified","Unspecified","","2021-05-06",
"Y93.0","","Walking or Running","Activities involving walking and running","Walking or running activities","","2021-05-06",
"Y93.02","","Walking or Running","Activity, running","Running","","2021-05-06",
"Y93.01","","Walking or Running","Activity, walking, marching and hiking","Walking, marching, or hiking","","2021-05-06",
"Y93.1","","Water Activities","Activities involving water and water craft","Water or water craft activity","","2021-05-06",
"Y93.19","","Water Activities","Activity, other involving water and watercraft","Other water or water craft activities","","2021-05-06",
"Y93.16","","Water Activities","Activity, rowing, canoeing, kayaking, rafting and tubing","Rowing, canoeing, kayaking, rafting, or tubing","","2021-05-06",
"Y93.12","","Water Activities","Activity, springboard and platform diving","Springboard or platform diving","","2021-05-06",
"Y93.18","","Water Activities","Activity, surfing, windsurfing and boogie boarding","Surfing, windsurfing, or boogie boarding","","2021-05-06",
"Y93.11","","Water Activities","Activity, swimming","Swimming","","2021-05-06",
"Y93.15","","Water Activities","Activity, underwater diving and snorkeling","Underwater diving or snorkeling","","2021-05-06",
"Y93.14","","Water Activities","Activity, water aerobics and water exercise","Water aerobics or water exercise","","2021-05-06",
"Y93.13","","Water Activities","Activity, water polo","Water polo","","2021-05-06",
"Y93.17","","Water Activities","Activity, water skiing and wake boarding","Water skiing or wake boarding","","2021-05-06",
"Y93.2","","Winter Activities","Activities involving ice and snow","Ice or snow activity","","2021-05-06",
"Y93.24","","Winter Activities","Activity, cross country skiing","Cross country skiing","","2021-05-06",
"Y93.22","","Winter Activities","Activity, ice hockey","Ice hockey","","2021-05-06",
"Y93.21","","Winter Activities","Activity, ice skating","Ice skating","","2021-05-06",
"Y93.29","","Winter Activities","Activity, other involving ice and snow","Other ice or snow activities","","2021-05-06",
"Y93.23","","Winter Activities","Activity, snow (alpine) (downhill) skiing, snowboarding, sledding, tobogganing and snow tubing","Snow (alpine or downhill) skiing, snowboarding, sledding, tobogganing, or snow Tubing","","2021-05-06",
